Route Progress,Incidental Gradient,GRD,Delta Elevation
0.004,0.13638870583577603,46.92470656409228,6.400000000000091
0.008,0.11960296972942909,48.41016918809246,5.789999999999964
0.012,0.09086721235879143,46.9916473627449,4.269999999999982
0.016,0.1258470741229198,48.39206666061861,6.0900000000001455
0.02,0.15127555044573415,48.38852001153718,7.319999999999709
0.024,0.14434822969157418,48.56311722685022,7.010000000000218
0.028,0.08204326265712251,48.26721746244757,3.9600000000000364
0.032,0.13210717257642124,48.445514919319194,6.400000000000091
0.036,0.23805855324220102,47.38330064756573,11.279999999999745
0.04,0.07701792735354691,47.52140346751749,3.6599999999998545
0.044,0.0632416451466926,48.227714394944066,3.0500000000010914
0.048,0.15044280590650136,48.58989405277461,7.309999999999036
0.056,0.23633173647555952,28.34997998964352,6.699999999999818
0.064,0.0702136786774615,47.85392338485582,3.3600000000001273
0.068,0.2641962734538024,42.65767965864463,11.269999999999982
0.072,0.050449127665991904,48.36555383384508,2.4400000000000546
0.076,0.15717128295163893,48.48213908354072,7.619999999999891
0.08,-0.03139346149894246,48.41772545697726,-1.5199999999999818
0.084,0.10422366462292386,46.82237971247424,4.880000000000109
0.088,0.08202418341994379,48.27844465973899,3.9600000000000364
0.092,0.3066841159643833,48.68201260783173,14.929999999999836
0.1,0.1972546538597646,41.72271649342461,8.229999999999563
0.104,-0.11120929937471426,46.66875908022899,-5.1899999999996
0.108,0.23234490800492968,48.54851391776753,11.279999999999745
0.112,0.3081653785466948,48.480462245489626,14.940000000000055
0.116,0.05763506595980687,47.54050254600121,2.740000000001146
0.12,-0.06092283108581583,44.97492895794001,-2.740000000001146
0.128,-0.018729177400518077,48.587291397861755,-0.9100000000012187
0.132,-0.019375824402997923,47.481850622901064,-0.9199999999987085
0.136,0.06499840922391006,46.92422532206921,3.0499999999988177
0.14,0.06943554681583272,48.39020003561027,3.3600000000001273
0.144,0.10051505053059952,48.4504556709876,4.869999999999891
0.148,-0.04382789266214545,48.59918811108638,-2.130000000000109
0.156,-0.04874700779908585,49.849213515101056,-2.429999999998927
0.16,-0.018719527261291675,49.1465402495742,-0.9200000000000728
0.164,0.08174288607204096,48.444582645516604,3.9600000000000364
0.168,0.1448618074015384,48.390946694253955,7.010000000001128
0.172,0.12055341996045402,48.11145135410868,5.799999999998818
0.176,0.1889829432197777,48.3641531043916,9.139999999999873
0.18,0.19010840277727492,48.07783278632547,9.140000000001237
